,age,job,marital,education,default,housing,loan,comm_type,month,day_of_week,last_contact_duration,campaign_contact_count,poutcome,cons.price.idx,cons.conf.idx,nr.employed,cluster
0,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,nonexistent,93.994,-36.4,5191.0,2
1,57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,nonexistent,93.994,-36.4,5191.0,2
2,37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,nonexistent,93.994,-36.4,5191.0,2
3,40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,nonexistent,93.994,-36.4,5191.0,2
4,56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,nonexistent,93.994,-36.4,5191.0,1
5,45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,nonexistent,93.994,-36.4,5191.0,2
6,59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,nonexistent,93.994,-36.4,5191.0,2
7,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,nonexistent,93.994,-36.4,5191.0,2
8,24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,nonexistent,93.994,-36.4,5191.0,1
9,25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,nonexistent,93.994,-36.4,5191.0,2
10,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,nonexistent,93.994,-36.4,5191.0,2
11,25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,nonexistent,93.994,-36.4,5191.0,2
12,29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,nonexistent,93.994,-36.4,5191.0,2
13,57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,nonexistent,93.994,-36.4,5191.0,1
14,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,nonexistent,93.994,-36.4,5191.0,2
15,54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,nonexistent,93.994,-36.4,5191.0,2
16,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,1,nonexistent,93.994,-36.4,5191.0,1
17,46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,nonexistent,93.994,-36.4,5191.0,1
18,50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,nonexistent,93.994,-36.4,5191.0,1
